,t,r,N1,1,10,2,11,3,12,4,13,5,14
0,-0.5,0.0,0.0,1.0,-0.253410666058422,1.3,-0.21067611817244927,1.6,-0.17616107988685037,1.9000000000000001,-0.14799184731615814,2.2,-0.12480502223327788
1,-0.49,0.0,0.0,1.0,-0.2522975596033694,1.3,-0.21054513650454687,1.6,-0.17667708908620697,1.9000000000000001,-0.14892725349158237,2.2,-0.12600268062455217
2,-0.48,,,1.0,-0.2510735860449649,1.3,-0.21031964951919832,1.6,-0.1771173572610999,1.9000000000000001,-0.14980533252970785,2.2,-0.12715986740517235
3,-0.47,,,1.0,-0.24973545788230417,1.3,-0.20999571155604685,1.6,-0.17747768641522504,1.9000000000000001,-0.15062192592819074,2.2,-0.128272657544625
4,-0.45999999999999996,,,1.0,-0.248279849989386,1.3,-0.20956928158136734,1.6,-0.17775373134396705,1.9000000000000001,-0.1513726875859792,2.2,-0.12933691054450594
5,-0.44999999999999996,,,1.0,-0.24670340262509402,1.3,-0.20903622449207396,1.6,-0.17794099806004104,1.9000000000000001,-0.15205307886491234,2.2,-0.13034826215857317
6,-0.43999999999999995,,,1.0,-0.24500272471383414,1.3,-0.20839231278040604,1.6,-0.1780348425569902,1.9000000000000001,-0.1526583638585619,2.2,-0.13130211611039433
7,-0.42999999999999994,,,1.0,-0.24317439740645738,1.3,-0.2076332285852776,1.6,-0.17803046995118738,1.9000000000000001,-0.1531836049164195,2.2,-0.13219363585475877
8,-0.41999999999999993,,,1.0,-0.24121497793070223,1.3,-0.20675456615691634,1.6,-0.177922934045511,1.9000000000000001,-0.15362365847617598,2.2,-0.13301773643541107
9,-0.4099999999999999,,,1.0,-0.23912100373991163,1.3,-0.20575183476195774,1.6,-0.17770713736038649,1.9000000000000001,-0.1539731712617084,2.2,-0.1337690764985877
10,-0.3999999999999999,,,1.0,-0.23688899696819984,1.3,-0.20462046205656506,1.6,-0.17737783168036853,1.9000000000000001,-0.15422657690946506,2.2,-0.1344420505293054
11,-0.3899999999999999,,,1.0,-0.2345154691995675,1.3,-0.20335579795541328,1.6,-0.17692961916686836,1.9000000000000001,-0.15437809309120157,2.2,-0.1350307813853691
